JK MEDICO Pvt Ltd
BIOS LAB PVT.LTD.
Stock And Sales for the period 01-08-2023 to 31-08-2023

Flag,Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value
**,BIOMMF ,10 T,333.26,42,93,68,90,87,0,24809,0,0,71,23661

**,BIOPRE-NT,10 T,81,35,86,77,140,153,0,13500,0,0,64,5184

**,BIOSITA 100,10 T.,127.29,0,20,47,0,0,0,0,0,0,57,6631

**,BIOSITA M,10 T,92.57,0,24,10,0,0,0,0,0,0,20,1851

**,BIOSITA-MP,1X10,108.64,0,0,0,30,0,0,0,0,0,30,3259

**,BIO-SODA,10 T,23.14,6,27,20,30,30,0,771,0,0,20,463

**,BIOTENLY M FORTE,10 T,81,0,15,4,10,6,0,540,0,0,8,648

**,BIOTENLY-20,10 T,52.07,10,31,28,10,21,0,1215,0,0,17,885

**,BIOTENLY-M,10 T,75.21,89,139,145,100,175,0,14541,0,0,70,5265

**,BIOVILDA 100 SR,10 T.,81,8,15,11,0,3,0,270,0,0,8,648

**,BIOVILDA 50,10 T,52.07,0,0,8,0,0,0,0,0,0,8,417

**,BIOVILDA M,10 T,0,0,0,0,0,0,0,0,0,0,0,0

**,BIOVILDA MSR ,10 T,63.64,8,22,23,30,22,0,1556,0,0,31,1973

**,BIOXIGA ,10 TAB,92.57,20,11,27,20,25,0,2571,0,0,22,2037

**,BIOXIGA M,10 T.,92.57,106,79,54,180,165,0,15943,0,0,69,6387

**,BIOXIGA MS 100,10 T,127.29,19,24,24,30,43,0,6081,0,0,12,1527

**,BIOXIGA S 100,10T,108.77,5,10,5,10,5,0,604,0,0,10,1088

**,BIOXIGA S 50,10 T.,108.64,27,4,21,0,3,0,362,0,0,18,1956

**,BIOXIGA V,10 T,104.14,9,10,18,10,12,0,1389,0,0,16,1666

**,BKETA-10,10 TAB,0,0,0,0,0,0,0,0,0,0,0,0

**,BKETA-DT,15 T.,40.5,5,5,10,0,5,0,225,0,0,5,203

**,B-PAM 10,10 TAB,48.47,36,6,30,0,16,0,862,0,0,14,679

**,BSOX GEL,100 ML,69.43,34,76,48,70,96,0,7405,0,0,22,1527

**,B-STABLE,10 TAB,0,0,0,0,0,0,0,0,0,0,0,0

**,CDH FORTE,10 T.,75.21,59,38,70,10,43,0,3594,0,0,37,2783

**,DIEXOMET G1,10 T,41.14,62,100,102,30,103,0,4342,0,0,29,1193

**,DIEXOMET G2,10 T,47.83,137,111,144,80,156,0,7652,0,0,68,3252

**,DIEXOMET GV 1.3,1*10,63.64,6,9,9,10,9,0,636,0,0,10,636

**,DIEXOMET GV 2.2,10 T.,63.64,28,124,93,20,71,0,5020,0,0,42,2673

**,DIEXOMET GV 2.3,10 T.,69.43,57,67,101,0,42,0,3240,0,0,59,4096

**,E-TEGO,10 T,76.88,145,102,140,120,136,0,11019,0,0,124,9533

**,ETIWELL 0.25,10 TAB,19.09,62,79,139,0,71,0,1506,0,0,70,1336

**,ETIWELL 0.5,10 T.,25.46,55,47,70,30,60,0,1697,0,0,40,1018

**,GTT KIT,75 GM,32.95,164,193,41,250,177,0,6187,0,0,114,3756

**,IDANT TAB,10 TAB,0,0,0,0,0,0,0,0,0,0,0,0

**,LOSWT 200 G. CHOCO,200 G.,263.59,3,4,0,11,7,0,2050,0,0,4,1054

**,LOSWT 200G. VANILA,200 GM,0,0,0,0,0,0,0,0,0,0,0,0

**,L-URIDE,10 T,38.19,19,42,12,80,64,0,2716,0,0,28,1069

**,P-ACDEZ 40,1X10,46.29,0,0,0,30,0,0,0,0,0,30,1389

**,ROZTOR 10,10 T,46.29,44,59,50,50,66,0,3394,0,0,34,1574

**,ROZTOR 5,10 T,28.93,48,82,77,50,127,0,4018,0,0,0,0

**,ROZTOR A,10 C.,48.6,38,44,45,30,51,0,2754,0,0,24,1166

**,ROZTOR GOLD 10,10 C.,0,0,0,0,0,0,0,0,0,0,0,0

**,R-ZOLE 20,10 TAB,40.5,78,124,140,150,178,0,7740,0,0,112,4536

**,R-ZOLE D,10 T,42.62,39,193,170,200,284,0,12408,0,0,86,3665

**,R-ZOLE DSR,10 CAP,50.91,403,456,424,300,494,0,26814,0,0,230,11709

**,R-ZOLE-L,10 CAP,92.57,28,21,25,30,39,0,3806,0,0,16,1481

**,STELLA 60K,4 TAB,63.64,199,266,186,200,323,0,22203,0,0,63,4009

**,TELEXA 40,10 TAB,38.19,347,315,335,250,434,0,17736,0,0,151,5767

**,TELEXA 80,10 TAB,63.64,3,1,9,10,10,0,707,0,0,9,573

**,TELEXA AMH ,1*10,57.86,108,56,74,20,33,0,2121,0,0,61,3529

**,TELEXA H 40,10 TAB,44.55,165,317,204,150,240,0,11732,0,0,114,5079

**,TELEXA M 25,10 T.,48.6,19,31,23,30,40,0,2160,0,0,13,632

**,TELEXA-80 H,10 T,69.43,15,12,12,20,31,0,2391,0,0,1,69

**,TELEXA-AM,10 TAB,50.91,204,368,281,163,338,0,18781,0,0,123,6262

**,TELEXA-B 2.5,1X10,52.07,0,0,0,30,0,0,0,0,0,30,1562

**,TELEXA-B 5,1X10,57.86,0,0,0,30,0,0,0,0,0,30,1736

**,TELEXA-CM 25,10 T.,75.21,3,3,17,0,6,0,501,0,0,11,827

**,TELEXA-CM 50,10 T.,83.38,19,62,37,0,31,0,2872,0,0,6,500

**,TELEXA-M 50,10 T,50.91,27,24,70,0,43,0,2433,0,0,27,1375

**,TILCEF 250,10 TAB,140.01,3,21,13,0,9,0,1400,0,0,4,560

**,TILCEF 500,10 T.,267.3,6,1,12,0,0,0,0,0,0,12,3208

**,VOLENT GEL,30 GM,46.29,68,101,46,90,80,0,3652,0,0,66,3055

**,VOLENT SP,10 T,44.55,5,0,40,0,0,0,0,0,0,40,1782

**,VOLENT SPAS,10 T.,63.64,0,32,25,10,11,0,778,0,0,26,1655

**,VOLENT-P,10 TAB,34.71,42,40,22,57,54,0,1948,0,0,28,972

**,XEOZIA RD,10 C,81,2,12,30,0,12,0,1080,0,0,18,1458

,----Total----->>,,0,265352,343923,311054,0,396046,1794,394252,0,0,223319,223319.28
